symbol,direction,entry_price,size,entry_time,stop_loss,take_profit,exit_price,exit_time,exit_reason,pnl,signal_time,month,day
Volatility 10 Index,buy,6438.073,1.0,2025-01-02 07:45:00,6428.78719345,6459.8336131000015,6428.78719345,2025-01-02 13:00:00,stop_loss,-9.285806550000416,2025-01-02 07:30:00,2025-01,2025-01-02
Volatility 10 Index,buy,6436.765,1.0,2025-01-02 08:00:00,6428.54319345,6457.2256131,6428.54319345,2025-01-02 13:00:00,stop_loss,-8.22180655000011,2025-01-02 07:45:00,2025-01,2025-01-02
Volatility 10 Index,buy,6442.748,1.0,2025-01-02 08:15:00,6428.961193450001,6470.267613099997,6428.961193450001,2025-01-02 13:00:00,stop_loss,-13.7868065499988,2025-01-02 08:00:00,2025-01,2025-01-02
Volatility 10 Index,buy,6445.117,1.0,2025-01-02 08:30:00,6428.961193450001,6470.267613099997,6428.961193450001,2025-01-02 13:00:00,stop_loss,-16.155806549999397,2025-01-02 08:15:00,2025-01,2025-01-02
Volatility 10 Index,buy,6443.009,1.0,2025-01-02 09:15:00,6429.7015084,6470.385983199999,6429.7015084,2025-01-02 13:00:00,stop_loss,-13.307491599999594,2025-01-02 09:00:00,2025-01,2025-01-02
Volatility 10 Index,buy,6438.966,1.0,2025-01-02 09:30:00,6429.7015084,6470.385983199999,6429.7015084,2025-01-02 13:00:00,stop_loss,-9.264491599999928,2025-01-02 09:15:00,2025-01,2025-01-02
Volatility 10 Index,buy,6434.411,1.0,2025-01-02 04:15:00,6424.443318449999,6453.167363100001,6424.443318449999,2025-01-02 14:00:00,stop_loss,-9.967681550000634,2025-01-02 04:00:00,2025-01,2025-01-02
Volatility 10 Index,buy,6431.116,1.0,2025-01-02 04:30:00,6424.443318449999,6453.167363100001,6424.443318449999,2025-01-02 14:00:00,stop_loss,-6.672681550000561,2025-01-02 04:15:00,2025-01,2025-01-02
Volatility 10 Index,buy,6438.66,1.0,2025-01-02 05:30:00,6425.231732,6465.3575359999995,6425.231732,2025-01-02 14:00:00,stop_loss,-13.428267999999662,2025-01-02 05:15:00,2025-01,2025-01-02
Volatility 10 Index,buy,6434.339,1.0,2025-01-02 05:45:00,6425.231732,6465.3575359999995,6425.231732,2025-01-02 14:00:00,stop_loss,-9.107267999999749,2025-01-02 05:30:00,2025-01,2025-01-02
